J4,109.58,127.81,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,122.63,115.82,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,121.21,118.16,0.00,10µH,NORDIC_NRF_2_RESC0402_L
L3,121.21,117.12,0.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,100.43,117.88,90.00,68uH,NORDIC_NRF_2_RESC0402_L
L7,103.50,121.26,0.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q3,98.15,117.81,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,129.06,106.39,0.00,3K3,CPF0201D7K68C1_0201
R18,129.24,103.85,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,99.67,116.54,0.00,0.47,ERA-1AEB3401C_0201
R1_USB,103.96,125.43,0.00,5K1,CPF0201D7K68C1_0201
R2,105.89,121.84,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,99.62,118.87,180.00,10K,ERA-1AEB3401C_0201
R2_USB,115.34,125.81,180.00,5K1,ERA-1AEB3401C_0201
R3,98.70,128.02,90.00,0,ERA-1AEB3401C_0201
R4,107.82,121.87,180.00,0,CPF0201D7K68C1_0201
R5,97.38,103.09,180.00,10k,CPF0201D7K68C1_0201
R7,108.43,103.09,180.00,10k,CPF0201D7K68C1_0201
R8,119.51,103.09,180.00,10k,CPF0201D7K68C1_0201
R9,106.83,123.53,0.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,99.82,124.84,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,100.23,115.98,0.00,2.2,ERA-1AEB3401C_0201
SJ1,116.38,124.13,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,97.38,101.10,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,108.38,101.11,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,119.38,101.11,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,124.41,106.12,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
