Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CHECK_PRICES,COPYRIGHT,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGI-KEY_PART_NUMBER_2,DIGI-KEY_PART_NUMBER_3,HEIGHT,JLCPCB,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,PACKAGE,POPULARITY,PRICE,PROD_ID,PURCHASE-URL,SNAPEDA_LINK,SPICEMODEL,SPICEPREFIX,TP_SIGNAL_NAME,VALUE
1,20V/4.2A/52mO/1.4W,ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_MOSFET_PCH-DMG2305UX-7,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,DMG2305UX-7,"P-channel MOSFETs",,,,,,,,,,,,,,,,,,,,,TRAN-14388,,,,,,20V/4.2A/52mO/1.4W
2,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402,"C25, C33","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,
1,2450AT18B100E,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N,ANT1,"Antennas 2.45GHz ANTENNA",2450AT18B100E,https://www.arrow.com/en/products/2450at18b100e/johanson-dielectrics?utm_currency=USD&region=nac,,,,"Antennas 2.45GHz ANTENNA",,,,1.4mm,,"JOHANSON TECHNOLOGY",2450AT18B100E,,609-2450AT18B100E,https://www.mouser.co.uk/ProductDetail/Johanson-Technology/2450AT18B100E?qs=yCnrNFeXz%252Bh5MFsFIXGZGA%3D%3D,,,,,,,,,,,
1,3.9nH,NORDIC_NRF_2_INDUCTOR_0402_L,NORDIC_NRF_2_RESC0402_L,L1,"Generic chip inductor",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"32.768kHz ",NORDIC_NRF_1_XTAL_32KHZ,NORDIC_NRF_1_XTAL_3215_N,X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32MHz,NORDIC_NRF_XTAL_32MHZ,NORDIC_NRF_BT-XTAL_2016_N,X1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3K3,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201,"R17, R18","7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402,C43,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,
1,4.7uF/25V,NORDIC_NRF_3_CAPACITOR_0201_L,NORDIC_NRF_3_RESC0201_L,C2-EP-DR,"Generic chip capacitor",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402,"C14, C20, C21","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,
1,4.7µF,NORDIC_NRF_3_CAPACITOR_0201_L,NORDIC_NRF_3_RESC0201_L,C6,"Generic chip capacitor",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,47nF,NORDIC_NRF_3_CAPACITOR_0201_L,NORDIC_NRF_3_RESC0201_L,C16,"Generic chip capacitor",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,503480-2400,503480-2400_503480-2400,503480-2400_5034802400,J1,"FFC & FPC Connectors 0.5mm FPC RA SMT Dual Contact 24Ckt",,,,,,"FFC & FPC Connectors 0.5mm FPC RA SMT Dual Contact 24Ckt",,,,1.87mm,,Molex,503480-2400,,538-503480-2400,https://www.mouser.co.uk/ProductDetail/Molex/503480-2400?qs=OAhjpuo3Vu7efIoxFh9AOw%3D%3D,,,,,,,,,,,
1,5K1,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201,R1_USB,"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5K1,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201,R2_USB,"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68uH,NORDIC_NRF_2_INDUCTOR_0402_L,NORDIC_NRF_2_RESC0402_L,L5,"Generic chip inductor",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,820pF,NORDIC_NRF_3_CAPACITOR_0201_L,NORDIC_NRF_3_RESC0201_L,C9,"Generic chip capacitor",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BMA421,BMA423_BMA423,BMA423_BMA423,IC3,"Accelerometers Triaxial low-g 12bit Acceleration Sensor",BMA423,https://www.arrow.com/en/products/bma423/bosch,,,,"Accelerometers Triaxial low-g 12bit Acceleration Sensor",,,,1mm,,BOSCH,BMA423,,262-BMA423,https://www.mouser.co.uk/ProductDetail/Bosch-Sensortec/BMA423?qs=HXFqYaX1Q2xC%252BSgeGoX3mg%3D%3D,,,,,,,,,,,
1,BQ25180YBGR,BQ25180YBGR_BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50,IC1,"Charger IC Lithium Ion/Polymer, Lithium Iron Phosphate 8-DSBGA (1.6x1.1)",BQ25180YBGR,https://www.arrow.com/en/products/bq25180ybgr/texas-instruments?utm_currency=USD&region=nac,,,,"Charger IC Lithium Ion/Polymer"," Lithium Iron Phosphate 8-DSBGA (1.6x1.1)",,,,0.5mm,,"Texas Instruments",BQ25180YBGR,,595-BQ25180YBGR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/BQ25180YBGR?qs=doiCPypUmgEWjAK%252BJAX6Tw%3D%3D,,,,,,,,,,
1,DRV2605YZFR,DRV2605YZFR_DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62,IC2,"Haptic Driver for ERM/LRA with Built-In Library and Smart Loop Architecture",DRV2605YZFR,https://www.arrow.com/en/products/drv2605yzfr/texas-instruments?region=nac,,,,"Haptic Driver for ERM/LRA with Built-In Library and Smart Loop Architecture",,,,0.625mm,,"Texas Instruments",DRV2605YZFR,,,,,,,,,,,,,,
